0  sortseq,0Sort,Call U,mode,band,Output,Input,Call,mNemonic,Location,Service Area,S,ERP,HASL,T/O,Sp,Tone,Notes,Note2,Offset,absoff,sign,tsign,tdup,trpt,longditude,latitude,maidenhead,distsyd,dirsyd,dirkat,distmel,disttmb,txpower,bank
02,6-DV,VK2RDS B,DV,DST,439.8625,434.8625,VK2RDS B,-,Maddens Plains,Illawarra (G),O,25,391,3,2AMW,-,79,96,5.000,5.000,-,MINUS,DUP-,-RPT,150.9545937,-34.26338381,QF55lr46ns,49714,208.0,135.5,667679.3,736711.0,5,
02,6-DV,VK2RDS C,DV,DST,146.7625,146.1625,VK2RDS C,-,Maddens Plains,Illawarra (G),O,25,391,3,2AMW,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,150.9545937,-34.26338381,QF55lr46ns,49714,208.0,135.5,667679.3,736711.0,5,
02,6-DV,VK2RWN B,DV,DST,438.4000,433.0000,VK2RWN B,-,Terrey Hills,Sydney (G),O,25,-,3,2MB,-,79,96,5.400,5.400,-,MINUS,DUP-,-RPT,151.2223514,-33.69290793,QF56oh63qq,19445,4.0,88.4,726930.9,669056.9,5,
02,6-DV,VK2RWN C,DV,DST,146.9625,146.3625,VK2RWN C,-,Terrey Hills,Sydney (G),O,25,-,3,2MB,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,151.2223514,-33.69290793,QF56oh63qq,19445,4.0,88.4,726930.9,669056.9,5,
02,2-FM,VK2RAG 2,FM,2,146.7250,146.1250,VK2RAG,Someb,Somersby,Gosford,O,50,320,3,2EH,91.5,,,0.600,0.600,-,MINUS,DUP-,-RPT,151.2912145,-33.36007822,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
02,2-FM,VK2RAG 2,FM,2,147.1250,147.7250,VK2RAG,Someb1,Somersby,Gosford WICEN,O,50,320,3,2EH,91.5,,,-0.600,0.600,+,PLUS,DUP+,+RPT,151.2912145,-33.36007822,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
02,2-FM,VK2RCZ 2,FM,2,147.0750,147.6750,VK2RCZ,Lalor,Lalor Park,Sydney West,O,20,150,3,2CRZ,123,,,-0.600,0.600,+,PLUS,DUP+,+RPT,150.8335528,-33.74733787,QF56kg00ap,37133,291.0,93.9,695910.2,685491.9,5,
02,2-FM,VK2RGR 2,FM,2,146.9250,146.3250,VK2RGR,NRyde,North Ryde,Sydney North,O,10,30,2.5,2TVG,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,151.1269075,-33.79830756,QF56ne58fj,10741,315.8,96.9,712608.0,682730.5,5,
02,2-FM,VK2RLE 2,FM,2,146.8000,146.2000,VK2RLE,HCote,Engadine,Sydney,O,60,110,5,2LE,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,151.0361648,-34.04032914,QF55mx40ih,24854,219.6,118.1,688974.8,710851.6,5,
02,2-FM,VK2RMB 2,FM,2,146.8750,146.2750,VK2RMB,THills,Terrey Hills,Sydney,O,50,150,3,2MB,-,1,,0.600,0.600,-,MINUS,DUP-,-RPT,151.2220794,-33.69299394,QF56oh63pq,19433,3.9,88.4,726905.6,669072.9,5,
02,2-FM,VK2RNS 2,FM,2,147.2500,147.8500,VK2RNS,Asqith,Asquith,Sydney,O,50,225,3.5,2MA,-,32,,-0.600,0.600,+,PLUS,DUP+,+RPT,151.1006775,-33.68987894,QF56nh24bk,22085,333.3,87.8,718639.7,671887.0,5,
02,2-FM,VK2RRR 2,FM,2,147.2750,147.8750,VK2RRR,Razor,Razorback Range,SW Sydney,O,-,-,-,2VVV,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,150.6649263,-34.13894445,QF55hu96sp,58473,238.9,144.8,655607.8,731635.4,5,
02,2-FM,VK2RST 2,FM,2,147.2250,147.8250,VK2RST,Lewshm,Lewisham,Sydney SSTV 6/15,X,25,60,5,2TVG,-,30,,-0.600,0.600,+,PLUS,DUP+,+RPT,151.1453516,-33.89453142,QF56nc75kh,6488,242.8,104.4,707041.5,692517.1,5,
02,2-FM,VK2RWC 2,FM,2,147.1500,147.7500,VK2RWC,Chats1,Chatswood,Sydney WICEN,O,40,140,0.5,NWN,91.5,,,-0.600,0.600,+,PLUS,DUP+,+RPT,151.1789745,-33.7980051,QF56oe18ll,8185,341.0,96.5,716304.7,681367.6,5,
02,2-FM,VK2RWS 2,FM,2,147.1750,147.7750,VK2RWS,-,portable,Statewide WICEN,O,-,-,-,NWN,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,151.1469258,-33.62087566,QF56nj70px,27961,348.4,82.3,726919.7,663325.8,5,
02,3-FM,VK2RAG 7,FM,7,438.0750,433.0750,VK2RAG,Someb,Somersby,Gosford - Wyong IRLP,O,50,320,3,2EH,91.5,31,,5.000,5.000,-,MINUS,DUP-,-RPT,151.2912145,-33.36007822,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
02,3-FM,VK2RAG 7,FM,7,439.5250,434.5250,VK2RAG,Someb1,Somersby,Gosford - Wyong WICEN,O,50,320,3,2EH,91.5,31,,5.000,5.000,-,MINUS,DUP-,-RPT,151.2912145,-33.36007822,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
02,3-FM,VK2RAG 7,FM,7,439.7250,434.7250,VK2RAG,Someb2,Somersby,Gosford - Wyong,O,25,320,3,2EH,91.5,71,,5.000,5.000,-,MINUS,DUP-,-RPT,151.2912145,-33.36007822,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
02,3-FM,VK2RAG 7,FM,7,439.9500,434.9500,VK2RAG,Someb3,Somersby,Central Coast FM and P25,O,-,313,3,2EH,91.5,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.2912145,-33.36007822,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
02,3-FM,VK2RCT 7,FM,7,438.6500,433.6500,VK2RCT,-,Campbelltown,Campbelltown,O,25,-,-,2ZPI,91.5,,,5.000,5.000,-,MINUS,DUP-,-RPT,150.7847849,-34.04251997,QF55jw49et,43634,243.5,129.3,670959.5,717977.4,5,
02,3-FM,VK2RCZ 7,FM,7,439.4250,434.4250,VK2RCZ,Lalor,Lalor Park,West Sydney 6/15,P,20,150,3,2CRZ,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,150.8335528,-33.74733787,QF56kg00ap,37133,291.0,93.9,695910.2,685491.9,5,
02,3-FM,VK2RDC 7,FM,7,438.6500,433.6500,VK2RDC,-,Woy Woy,Woy Woy,O,-,-,-,2MDC,91.5,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.315176,-33.49825824,QF56pm70tk,42181,13.7,75.7,747632.5,645945.8,5,
02,3-FM,VK2RGW 7,FM,7,439.4750,434.4750,VK2RGW,-,Glenwood,West Sydney 6/15,P,50,175,3,2AO,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,150.9485289,-33.74782455,QF56lg30tm,27442,298.9,93.3,703813.0,682208.5,5,
02,3-FM,VK2RHC 7,FM,7,438.5500,433.5500,VK2RHC,-,Hurstville,Sydney,O,-,-,-,NME,91.5,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.0939495,-33.96426012,QF56na18gn,15007,224.5,110.8,698450.3,701259.8,5,
02,3-FM,VK2RHP 7,FM,7,439.7500,434.7500,VK2RHP,-,Horsley Park,Sydney,O,-,-,-,NME,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,150.8549472,-33.86154777,QF56kd23of,32651,271.1,107.6,688972.1,696882.3,5,
02,3-FM,VK2RHT 7,FM,7,438.3500,432.9500,VK2RHT,Chats,Chatswood,Sydney FM and P25,O,-,140,-,2MA,91.5,32,96,5.400,5.400,-,MINUS,DUP-,-RPT,151.1791975,-33.7977301,QF56oe18mn,8208,341.2,96.5,716340.2,681332.7,5,
02,3-FM,VK2RLE 7,FM,7,438.4250,433.4250,VK2RLE,HCote,Engadine,Sydney FM and P25,O,50,110,3,2LE,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.0361648,-34.04032914,QF55mx40ih,24854,219.6,118.1,688974.8,710851.6,5,
02,3-FM,VK2RMB 7,FM,7,438.1750,433.1750,VK2RMB,THills,Terrey Hills,Sydney FM and P25,O,5,150,3,2MB,91.5,1,82,5.000,5.000,-,MINUS,DUP-,-RPT,151.2220794,-33.69299394,QF56oh63pq,19433,3.9,88.4,726905.6,669072.9,5,
02,3-FM,VK2RMR 7,FM,7,439.5750,434.5750,VK2RMR,-,Mt Riverview,Blue Mountains,O,20,360,9,2THE,123,,,5.000,5.000,-,MINUS,DUP-,-RPT,150.6304766,-33.73078557,QF56hg54po,55572,285.7,92.7,683302.8,690047.5,5,
02,3-FM,VK2RNG 7,FM,7,439.8500,434.8500,VK2RNG,Werri,Werrington,Western Sydney,O,-,-,-,2THE,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,150.7406808,-33.76559905,QF56if86vg,44702,284.6,97.6,688178.0,690212.5,5,
02,3-FM,VK2RNS 7,FM,7,439.9750,434.9750,VK2RNS,Asqith,Hornsby,Northern Sydney 11/15,P,50,225,3.5,2MA,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.1006775,-33.68987894,QF56nh24bk,22085,333.3,87.8,718639.7,671887.0,5,
02,3-FM,VK2RON 7,FM,7,439.9250,434.9250,VK2RON,-,Artarmon,Sydney metro,O,15,200,1,2GO,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.1814115,-33.80534607,QF56oe16sr,7342,340.6,97.0,715951.5,682089.7,5,
02,3-FM,VK2RRR 7,FM,7,439.6000,434.6000,VK2RRR,Razor,Razorback,SW Sydney FM and P25,O,-,-,-,2VVV,91.5,,,5.000,5.000,-,MINUS,DUP-,-RPT,150.6649263,-34.13894445,QF55hu96sp,58473,238.9,144.8,655607.8,731635.4,5,
02,3-FM,VK2RRS 7,FM,7,438.4750,433.4750,VK2RRS,-,Lewisham,Sydney North 6/15,X,100,65,5,2TVG,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.1453516,-33.89453142,QF56nc75kh,6488,242.8,104.4,707041.5,692517.1,5,
02,3-FM,VK2RRW 7,FM,7,438.1000,433.1000,VK2RRW,-,North Ryde,Northern Sydney WICEN,O,-,-,-,NWN,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.1315523,-33.78340956,QF56nf51sx,11719,323.0,95.6,714008.2,681023.6,5,
02,3-FM,VK2RSV 7,FM,7,439.3250,434.3250,VK2RSV,-,Sans Souci,Sydney South EchoLink,O,25,25,-,2CL,91.5,64,,5.000,5.000,-,MINUS,DUP-,-RPT,151.1305966,-34.00513772,QF55nx58qs,16821,205.1,112.9,698205.9,704695.0,5,
02,3-FM,VK2RSW 7,FM,7,439.7750,434.7750,VK2RSW,-,Blaxland,Lower Blue Mtns,O,-,-,-,2NAB,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,150.6335239,-33.75030147,QF56hf69aw,54740,283.6,96.8,682031.0,691980.0,5,
02,3-FM,VK2RTG 7,FM,7,439.3000,434.3000,VK2RTG,-,Kariong,Gosford RTTY/SSTV 6/15,T,10,220,10,2EH,-,23,,5.000,5.000,-,MINUS,DUP-,-RPT,151.2972948,-33.43952126,QF56pn54qm,48223,9.9,71.7,750740.1,640118.9,5,
02,3-FM,VK2RWS 7,FM,7,438.2750,432.8750,VK2RWS,-,Berowra North,Sydney FM and P25,O,-,-,-,NWN,91.5,80,,5.400,5.400,-,MINUS,DUP-,-RPT,151.1469258,-33.62087566,QF56nj70px,27961,348.4,82.3,726919.7,663325.8,5,
03,2-FM,VK1RJB 2,FM,2,146.9250,146.3250,VK1RJB,Jervis,Jervis Bay,Jervis Bay,O,-,-,-,2VVV,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,150.7303866,-35.16173555,QF54iu71pe,150081,196.8,166.5,594032.9,838149.7,5,
03,2-FM,VK2RHH 2,FM,2,147.2500,147.8500,VK2RHH,Nimtbl,Nimmitabel,Snowy Mountains,O,-,-,-,2SNO,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,149.3023097,-36.50910403,QF43pl67gt,340549,210.1,196.2,411141.1,1021176.9,5,
03,2-FM,VK2RHR 2,FM,2,146.8250,146.2250,VK2RHR,HRange,High Range,Southern Highlands,O,50,862,3,2JQ,-,21,,0.600,0.600,-,MINUS,DUP-,-RPT,150.3357462,-34.37099698,QF55ep00gx,97912,235.0,177.9,615835.4,766093.9,5,
03,2-FM,VK2RMU 2,FM,2,146.7000,146.1000,VK2RMU,NowraH,Nowra Hill,Milton - Ulladulla,O,50,330,4,2HQ,123,,,0.600,0.600,-,MINUS,DUP-,-RPT,150.5669942,-34.93559662,QF55gb85ak,132292,206.3,170.0,595059.7,818409.7,5,
03,2-FM,VK2RMW 2,FM,2,147.0750,147.6750,VK2RMW,Wandra,Mt Wandera,Batemans Bay,O,25,530,3,2BAY,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,150.0059193,-35.7947349,QF54ae09rg,240376,206.9,186.8,502102.1,924916.1,5,
03,2-FM,VK2RSH 2,FM,2,147.1000,147.7000,VK2RSH,SHigh,Southern Highlands,Southern Highlands,O,-,-,-,2JQ,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,150.5176925,-34.40814592,QF55go22cb,87426,226.5,165.8,626173.7,764285.1,5,
03,2-FM,VK2RWP 2,FM,2,146.8250,146.2250,VK2RWP,WolumP,Wolumla Peak,Bega-Far Sth Coast 6/15,T,50,770,3.5,2CRN,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,149.7281148,-36.86445474,QF43ud72im,358619,201.6,188.4,434593.3,1045349.6,5,
03,3-FM,VK2RHR 7,FM,7,438.0250,433.0250,VK2RHR,HRange,High Range,Southern Highlands,O,75,827,2,2JQ,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,150.3357462,-34.37099698,QF55ep00gx,97912,235.0,177.9,615835.4,766093.9,5,
03,3-FM,VK2RIW 7,FM,7,438.3000,433.3000,VK2RIW,-,Kiama,Kiama WICEN,O,-,-,-,NWN,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,150.7913891,-34.69760759,QF55jh42xn,99712,202.5,157.8,626956.0,787153.8,5,
03,3-FM,VK2RMU 7,FM,7,438.1250,433.1250,VK2RMU,NowraH,Nowra Hill,Milton - Ulladulla,O,50,330,3,2HQ,123,,,5.000,5.000,-,MINUS,DUP-,-RPT,150.5669942,-34.93559662,QF55gb85ak,132292,206.3,170.0,595059.7,818409.7,5,
03,3-FM,VK2RSH 7,FM,7,439.3750,434.3750,VK2RSH,-,Alpine,Mittagong,O,-,-,-,2JQ,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,150.5176925,-34.40814592,QF55go22cb,87426,226.5,165.8,626173.7,764285.1,5,
03,3-FM,VK2RWP 7,FM,7,439.9000,434.9000,VK2RWP,WolumP,Wolumla Peak,Bega,O,-,-,-,2CRN,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,149.7281148,-36.86445474,QF43ud72im,358619,201.6,188.4,434593.3,1045349.6,5,
04,2-FM,VK2RBB 2,FM,2,146.6250,146.0250,VK2RBB,Byron,Goonengerry,Byron Bay,O,18,355,3,2SRC,123,,,0.600,0.600,-,MINUS,DUP-,-RPT,153.4350422,-28.6022166,QG61rj25el,621126,20.6,28.6,1289693.0,89042.2,5,
04,2-FM,VK2RBO 2,FM,2,147.3500,147.9500,VK2RBO,Coorb,Cooranbong,Newcastle 6/15,P,-,-,-,2DBO,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,151.460511,-33.0888466,QF56rv58gq,89532,15.3,57.3,788321.3,598574.1,5,
04,2-FM,VK2RCB 2,FM,2,146.7500,146.1500,VK2RCB,FranLO,Francis Lookout,Bellingen,O,50,850,3,2EP,123,24,,0.600,0.600,-,MINUS,DUP-,-RPT,152.6882033,-30.3965164,QF69io24ou,409475,20.3,32.0,1087317.4,282347.5,5,
04,2-FM,VK2RCH 2,FM,2,146.8500,146.2500,VK2RCH,Bruxnr,Mt Coramba,Coffs Harbour,O,50,600,3,2EP,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,153.0533583,-30.21925464,QF69ms67jj,440507,23.8,34.5,1124709.6,260358.6,5,
04,2-FM,VK2RCN 2,FM,2,147.0000,146.4000,VK2RCN,TelePt,Telegraph Point,Port Macquarie,O,50,136,3,2BOR,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,152.7741135,-31.30396225,QF68jq27vb,320090,27.8,41.6,1016348.2,381626.7,5,
04,2-FM,VK2RCV 2,FM,2,146.6750,146.0750,VK2RCV,Graft,Grafton,Clarence Valley,O,30,264,3.5,2YLO,123,,,0.600,0.600,-,MINUS,DUP-,-RPT,153.1573295,-29.63464571,QG60ni87vq,504387,22.0,31.6,1181666.3,195779.3,5,
04,2-FM,VK2RDO 2,FM,2,146.6500,146.0500,VK2RDO,Dorrig,Dorrigo Plateau,Coffs Harbour,O,50,1200,3,2EP,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,152.8587894,-30.31710212,QF69kq33bv,423436,22.0,33.3,1104469.6,271917.6,5,
04,2-FM,VK2REE 2,FM,2,146.6750,146.0750,VK2REE,-,Mount Ganghat,Taree - Gloucester,O,50,600,5.0,2FRE,123,22,,0.600,0.600,-,MINUS,DUP-,-RPT,152.1817397,-31.92207109,QF68cb18tq,234236,23.2,41.9,927882.1,457101.0,5,
04,2-FM,VK2REH 2,FM,2,147.2500,147.8500,VK2REH,Woodbn,Moonimba,Evans Head,O,18,180,3,2SRC,123,,,-0.600,0.600,+,PLUS,DUP+,+RPT,153.4432588,-29.11550688,QG60rv32eg,568072,22.5,31.1,1244255.2,142996.1,5,
04,2-FM,VK2RGL 2,FM,2,147.1000,147.7000,VK2RGL,CbTree,Cabbage Tree Mtn,Forster - Tuncurry,O,30,650,5,2GLR,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,152.120465,-32.25739471,QF67br48kf,197896,25.8,46.8,897087.5,494708.3,5,
04,2-FM,VK2RGL 2,FM,2,147.2000,147.8000,VK2RGL,CbTree,Cabbage Tree Mtn,Forster - Tuncurry,O,30,650,5,2GLR,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,152.120465,-32.25739471,QF67br48kf,197896,25.8,46.8,897087.5,494708.3,5,
04,2-FM,VK2RMY 2,FM,2,146.8750,146.2750,VK2RMY,YarahP,Mt Yarrahapinni,Kempsey - Macksville,O,15,500,3,2EP,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,152.9194899,-30.81391167,QF69le04ip,375021,25.9,38.1,1066076.2,326571.0,5,
04,2-FM,VK2RNC 2,FM,2,146.9000,146.3000,VK2RNC,SgarL,Mt Sugarloaf,Lower Hunter,O,70,442,5,2AWX,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,151.538894,-32.8901955,QF57sc46qi,112720,16.0,51.6,808878.9,575392.7,5,
04,2-FM,VK2RNC 2,FM,2,146.9750,146.3750,VK2RNC,SgarL1,Mt Sugarloaf,Lower Hunter,O,70,442,10,2AWX,-,26,,0.600,0.600,-,MINUS,DUP-,-RPT,151.538894,-32.8901955,QF57sc46qi,112720,16.0,51.6,808878.9,575392.7,5,
04,2-FM,VK2RPM 2,FM,2,146.7000,146.1000,VK2RPM,MdlBro,Middle Brother,Port Macquarie,O,50,552,3.5,2BOR,91.5,,,0.600,0.600,-,MINUS,DUP-,-RPT,152.6782851,-31.70130379,QF68ih11jq,276947,30.2,45.5,978040.1,426278.4,5,
04,2-FM,VK2RSC 2,FM,2,146.8000,146.2000,VK2RSC,Lismor,Parrots Nest,Lismore,O,15,185,3,2SRC,123,,,0.600,0.600,-,MINUS,DUP-,-RPT,153.2285111,-28.85706342,QG61od74kh,587852,19.6,28.1,1254981.8,110592.3,5,
04,2-FM,VK2RSR 2,FM,2,147.1250,147.7250,VK2RSR,Scadns,Scaddens Ridge,Wyong WICEN,O,20,-,-,NWN,-,27,,-0.600,0.600,+,PLUS,DUP+,+RPT,151.3669139,-33.29454162,QF56qq49ah,65276,13.1,64.8,766363.0,622887.0,5,
04,2-FM,VK2RTS 2,FM,2,147.3250,147.9250,VK2RTS,Lawsn2,Lawson,Blue Mountains,O,25,-,5,2FKO,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,150.4448985,-33.71069258,QF56fg39jk,72764,283.6,86.3,672395.7,694154.0,5,
04,2-FM,VK2RTZ 2,FM,2,146.7750,146.1750,VK2RTZ,SugarL,Mt Sugarloaf,Newcastle,O,10,442,3,2ATZ,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,151.5158569,-32.94467082,QF57sb13vg,106321,15.7,53.0,803121.7,581787.4,5,
04,2-FM,VK2RWH 2,FM,2,147.1500,147.7500,VK2RWH,Nwcsle,Newcastle,Lower Hunter WICEN,O,-,-,-,NWN,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,151.5154557,-32.91742767,QF57sb19ut,109225,15.3,52.0,805200.4,578881.9,5,
04,2-FM,VK2RWK 2,FM,2,147.1500,147.7500,VK2RWK,KurraJ,Kurrajong Heights,Blue Mtns WICEN,O,-,-,-,NWN,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,150.6269303,-33.52358322,QF56hl54fi,66009,305.2,54.0,698982.2,668662.9,5,
04,2-FM,VK2RWR 2,FM,2,147.0750,147.6750,VK2RWR,Moona,Moona Trig,Walcha,O,-,-,-,NWR,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,151.8898296,-31.03990305,QF58wx60sk,320086,11.7,27.1,983873.5,369240.6,5,
04,3-FM,VK2RAI 7,FM,7,439.2750,434.2750,VK2RAI,-,Booral,Booral/Stroud,O,-,-,-,2RA,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.9716893,-32.5052853,QF57xl68or,167063,25.5,49.6,867744.2,524410.3,5,
04,3-FM,VK2RCN 7,FM,7,438.4250,433.4250,VK2RCN,TelePt,Telegraph Point,Port Macquarie,O,25,138,3,2BOR,123,,,5.000,5.000,-,MINUS,DUP-,-RPT,152.7741135,-31.30396225,QF68jq27vb,320090,27.8,41.6,1016348.2,381626.7,5,
04,3-FM,VK2REE 7,FM,7,438.3250,433.3250,VK2REE,-,Mt Ganghat,Taree - Gloucester,O,50,600,5.0,2FRE,-,107,,5.000,5.000,-,MINUS,DUP-,-RPT,152.1817397,-31.92207109,QF68cb18tq,234236,23.2,41.9,927882.1,457101.0,5,
04,3-FM,VK2RHK 7,FM,7,438.1250,433.1250,VK2RHK,-,Wyee,Lake Macquarie,O,-,-,-,2HK,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.4938783,-33.18273562,QF56rt96gd,80497,19.4,62.0,783469.5,607825.7,5,
