Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
4,Canada,Vancouver,BC,VA7ICM C,VA7ICM G,145.04,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,49.18,-122.84,-8:00
4,Canada,Winnipeg,Manitoba,VE4WDR B,VE4WDR G,444.575,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,49.9005,-97.142,-6:00
4,Canada,Winnipeg,Manitoba,VE4WDR C,VE4WDR G,145.49,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,49.9005,-97.142,-6:00
4,Canada,St Johns,NL,VO1TZ  C,VO1TZ  G,145.09,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,47.526333,-52.845333,-4:00
4,Canada,St.Johns,NL,VO1TZ  B,VO1TZ  G,443.4,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,47.526333,-52.845333,-4:00
4,Canada,Bridgewater,NS,VE1DSR C,VE1DSR G,145.29,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,44.37,-64.53,-4:00
4,Canada,Almonte,Ontario,VA3AAR B,VA3AAR G,444.1,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,45.162,-76.292833,-5:00
4,Canada,Almonte,Ontario,VA3AAR C,VA3AAR G,145.55,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,45.162,-76.292833,-5:00
4,Canada,Cobourg,Ontario,VE3RTR C,VE3RTR G,146.895,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,44.07,-78.15,-5:00
4,Canada,Cornwall,Ontario,VA3SDG B,VA3SDG G,444.45,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,45.036167,-74.740333,-5:00
4,Canada,Cornwall,Ontario,VA3SDG C,VA3SDG G,145.57,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,45.03,-74.75,-5:00
4,Canada,Fonthill- ON,Ontario,VE3PLF B,VE3PLF G,444.725,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,43.05,-79.3,-5:00
4,Canada,Little Current,Ontario,VE3RXR B,VE3RXR G,442.05,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,45.953833,-81.9475,-5:00
4,Canada,Little Current,Ontario,VE3RXR C,VE3RXR G,145.31,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,45.953833,-81.9475,-5:00
4,Canada,London,Ontario,VE3TTT B,VE3TTT G,442.3,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,42.984333,-81.244167,-5:00
4,Canada,Newmarket,Ontario,VE3YRK B,VE3YRK G,444.5125,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,44.0348,-79.4353,-5:00
4,Canada,Newmarket,Ontario,VE3YRK C,VE3YRK G,147.18,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,44.0348,-79.4353,-5:00
4,Canada,Niagara on the L,Ontario,VA3YYZ B,VA3YYZ G,442.6875,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,43.22,-79.13,-5:00
4,Canada,Niagara on the L,Ontario,VA3YYZ C,VA3YYZ G,144.93,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,43.22,-79.13,-5:00
4,Canada,Ottawa,Ontario,VA3ODG B,VA3ODG G,444.85,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,45.411333,-75.689167,-5:00
4,Canada,Ottawa,Ontario,VA3ODG C,VA3ODG G,145.53,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,45.411333,-75.689167,-5:00
4,Canada,PeterBorough,Ontario,VE3SSF C,VE3SSF G,147.36,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,44.3,-78.33,-5:00
4,Canada,Simcoe County,Ontario,VE3LSR B,VE3LSR G,444.35,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,44.532167,-79.662333,-5:00
4,Canada,Simcoe County,Ontario,VE3LSR C,VE3LSR G,145.19,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,44.532167,-79.662333,-5:00
4,Canada,Sudbury,Ontario,VA3SRG C,VA3SRG G,147.09,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,46.5,-81,-5:00
4,Canada,Timmins,Ontario,VE3TIR C,VE3TIR G,147.21,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,48.47,-81.34,-5:00
4,Canada,Toronto,Ontario,VE3YYZ B,VE3YYZ G,442.7,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,43.649,-79.381333,-5:00
4,Canada,Toronto,Ontario,VE3YYZ C,VE3YYZ G,144.94,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,43.649,-79.381333,-5:00
4,Canada,Covey Hill,Quebec,VA2REX B,VA2REX G,448.325,DUP-,5,DV,OFF,88.5Hz,YES,Approximate,45.015333,-73.841333,-5:00
4,Canada,Mont-Orford,Quebec,VE2RTO B,VE2RTO G,442,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,45.311833,-72.241833,-5:00
4,Canada,Montreal,Quebec,VA2RKA B,VA2RKA G,446.15,DUP-,5,DV,OFF,88.5Hz,YES,Approximate,45.468667,-73.612167,-5:00
4,Canada,Montreal,Quebec,VA2RKA C,VA2RKA G,144.91,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,45.97,-73.93,-5:00
4,Canada,Montreal,Quebec,VE2RIO B,VE2RIO G,449.925,DUP-,5,DV,OFF,88.5Hz,YES,Approximate,45.558167,-73.552,-5:00
4,Canada,Montreal,Quebec,VE2RIO C,VE2RIO G,144.95,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,45.558167,-73.552,-5:00
4,Canada,Mont-Saint-Grego,Quebec,VE2RVR B,VE2RVR G,444.2,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,45.2945,-73.3225,-5:00
4,Canada,Quebec,Quebec,VE2RQT B,VE2RQT G,449.925,DUP-,5,DV,OFF,88.5Hz,YES,Approximate,46.7795,-71.275667,-5:00
4,Canada,Quebec,Quebec,VE2RQT C,VE2RQT G,144.95,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,46.7795,-71.275667,-5:00
4,Canada,Rigaud Mountain,Quebec,VE2RM  B,VE2RM  G,442.25,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,45.452,-74.296667,-5:00
4,Canada,Rimouski,Quebec,VE2RKI C,VE2RKI G,144.95,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,48.43,-68.53,-5:00
4,Canada,Saint-Calixte,Quebec,VA2RKB C,VA2RKB G,144.91,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,45.97,-73.93,-5:00
4,Canada,Sherbrooke,Quebec,VE2RQF C,VE2RQF G,147.06,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,45.41,-71.87,-5:00
4,Canada,Sorel-Tracy,Quebec,VE2CST C,VE2CST G,146.985,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,46.04,-73.1,-5:00
4,Canada,Sorel-Tracy,Quebec,VE2FCT B,VE2FCT G,446.25,DUP-,5,DV,OFF,88.5Hz,YES,Approximate,46.046,-73.095833,-5:00
4,Canada,Sorel-Tracy,Quebec,VE2FCT C,VE2FCT G,146.61,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,46.046,-73.095833,-5:00
4,Canada,Whitehorse,Yukon Te,VY1RDS B,VY1RDS G,443.975,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,60.75,-135.24,-8:00
4,Canada,Whitehorse,Yukon Te,VY1RDS C,VY1RDS G,146.84,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,60.75,-135.24,-8:00
5,Europe Eastern,Istanbul,Turkey,YM2KK  B,YM2KK  G,439.15,DUP-,7.6,DV,OFF,88.5Hz,NO,Approximate,40.9425,29.1715,+2:00
6,Europe Northern,Copenhagen,Denmark,OZ2REA B,OZ2REA G,434.9375,DUP-,2,DV,OFF,88.5Hz,YES,Approximate,55.671833,12.523333,+1:00
7,Europe Southern,Barcelona,Spain,ED3YAK C,ED3YAK G,145.65,DUP-,0.6,DV,OFF,88.5Hz,NO,None,0,0,--:--
8,Europe Western,Courbevoie,France,F1ZPL  B,F1ZPL  G,430.2625,DUP+,9.4,DV,OFF,88.5Hz,YES,Approximate,48.88,2.362,+1:00
9,Germany,HAM Radio,,DB0COM B,DB0COM G,439.575,DUP-,7.6,DV,OFF,88.5Hz,NO,Exact,47.6784,9.506,+1:00
10,Italy,Albugnano - AT -,,IR1UCB B,IR1UCB G,430.1,DUP+,1.6,DV,OFF,88.5Hz,YES,Approximate,45.078,7.966833,+1:00
11,Japan,Inage,Chiba,JP1YJQ A,JP1YJQ G,439.27,DUP-,5,DV,OFF,88.5Hz,NO,Approximate,35.663,140.114833,+9:00
12,Latin America,Buenos Aires,Argentin,LU3AOC B,LU3AOC G,434.95,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,-34.609333,-58.385833,-3:00
12,Latin America,Buenos Aires,Argentin,LU3AOC C,LU3AOC G,147.345,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,-34.609333,-58.385833,-3:00
12,Latin America,Cordoba,Argentin,LU4HH  B,LU4HH  G,433.5,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,-31.42,-64.43,-3:00
12,Latin America,Rosario,Argentin,LU5FB  C,LU5FB  G,147.03,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,-33.128,-60.6175,-3:00
12,Latin America,Brasilia,Brazil,PT2DIG B,PT2DIG G,439.85,DUP-,5,DV,OFF,88.5Hz,YES,Approximate,-15.879667,-47.820167,-3:00
12,Latin America,Brasilia,Brazil,PT2MTD C,PT2MTD G,146.61,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,-15.79,-47.93,-3:00
12,Latin America,Sao Paulo,Brazil,PY2KPE B,PY2KPE G,439.925,DUP-,5,DV,OFF,88.5Hz,YES,Approximate,-23.421833,-46.706333,-3:00
12,Latin America,Sao Paulo,Brazil,PY2KPP B,PY2KPP G,439.975,DUP-,5,DV,OFF,88.5Hz,YES,Approximate,-23.734833,-46.225,-3:00
12,Latin America,Sao Paulo,Brazil,PY2KPP C,PY2KPP G,145.41,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,-23.734833,-46.225,-3:00
12,Latin America,Sao Paulo,Brazil,PY2KRJ C,PY2KRJ G,147.18,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,-23.359167,-46.527667,-3:00
12,Latin America,Cali,Colombia,HK6FRC C,HK6FRC G,147.18,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,3.417833,-76.5455,-5:00
12,Latin America,Willemstad,Curacao,PJ2A   B,PJ2A   G,433.9,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,12.14,-68.85,-4:00
12,Latin America,Guatemala,Guatemal,TG0AA  C,TG0AA  G,146.99,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,14.39,-90.38,-6:00
12,Latin America,Cancun,Mexico,XE3RCC C,XE3RCC G,145.3,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,21.190333,-86.819833,-6:00
12,Latin America,Chihuahua,Mexico,XE2ITZ C,XE2ITZ G,145.285,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,28.375667,-106.059167,-6:00
13,Netherlands,Amsterdam,,PI1RYS B,PI1RYS G,438.05,DUP-,7.6,DV,OFF,88.5Hz,YES,Approximate,52.384,4.902,+1:00
14,Oceania,Upper Hutt,NZL,ZL2VH  C,ZL2VH  G,145.425,DUP-,0.6,DV,OFF,88.5Hz,NO,Approximate,-41.147667,175.141333,+12:00
15,UK,HERNE BAY,SE,GB7IC  B,GB7IC  G,439.45,DUP-,9,DV,OFF,88.5Hz,NO,None,0,0,--:--
16,USA Midwest,Cadwell,Illinois,W9BIL  B,W9BIL  G,440.64375,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,39.678833,-88.522667,-6:00
16,USA Midwest,Cadwell,Illinois,W9BIL  C,W9BIL  G,145.195,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,39.678833,-88.522667,-6:00
16,USA Midwest,Carbondale,Illinois,W9UIH  B,W9UIH  G,442.125,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,37.709333,-89.2195,-6:00
16,USA Midwest,Champaign,Illinois,W9YR   B,W9YR   G,443.48125,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,40.1255,-88.291333,-6:00
16,USA Midwest,Chicago,Illinois,NS9RC  B,NS9RC  G,442.09375,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,41.976667,-87.654833,-6:00
16,USA Midwest,Chicago,Illinois,WA9ORC B,WA9ORC G,441.90625,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,41.884833,-87.629667,-6:00
16,USA Midwest,Decatur,Illinois,KC9YFX B,KC9YFX G,442.64375,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,39.88,-89.01,-5:00
16,USA Midwest,DuPage County,Illinois,KC9PWC B,KC9PWC G,440.10625,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,41.9297,-88.0983,-6:00
16,USA Midwest,Lake County,Illinois,KC9OKW B,KC9OKW G,441.23125,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,42.1642,-88.0055,-6:00
16,USA Midwest,Peoria,Illinois,W9PIA  B,W9PIA  G,443.46875,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,40.732833,-89.485667,-6:00
16,USA Midwest,Peoria,Illinois,W9PIA  C,W9PIA  G,145.105,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,40.732833,-89.485667,-6:00
16,USA Midwest,Quincy,Illinois,W9AWE  B,W9AWE  G,441.89375,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,39.973667,-91.3305,-6:00
16,USA Midwest,Quincy,Illinois,W9AWE  C,W9AWE  G,147.195,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,39.973667,-91.3305,-6:00
16,USA Midwest,Rock Island,Illinois,W9QCR  B,W9QCR  G,440.83125,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,41.49,-90.54,-6:00
16,USA Midwest,Rolling Meadows,Illinois,KC9RBB B,KC9RBB G,442.8,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,42.058833,-88.0205,-6:00
16,USA Midwest,Cedar Rapids,Iowa,N0CXX  B,N0CXX  G,442.05,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,42.031833,-91.643333,-6:00
16,USA Midwest,Cedar Rapids,Iowa,N0CXX  C,N0CXX  G,147.405,DUP-,0.99,DV,OFF,88.5Hz,YES,Approximate,42.031833,-91.643333,-6:00
16,USA Midwest,Des Moines,Iowa,KD0IAN B,KD0IAN G,443.175,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,41.6388,-93.8077,-6:00
16,USA Midwest,Des Moines,Iowa,KD0IAN C,KD0IAN G,147.105,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,41.6388,-93.8077,-6:00
16,USA Midwest,Louisburg,Kansas,K0HAM  B,K0HAM  G,442.125,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,38.586167,-94.620333,-6:00
16,USA Midwest,Louisburg,Kansas,K0HAM  C,K0HAM  G,145.12,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,38.586167,-94.620333,-6:00
16,USA Midwest,Olathe,Kansas,WA0RC  B,WA0RC  G,442.525,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,38.85,-94.8,-6:00
16,USA Midwest,Scott City,Kansas,W0MI   B,W0MI   G,443.225,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,38.475,-100.918,-6:00
16,USA Midwest,Alexandria,Louisian,KF5PIE C,KF5PIE G,147.21,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,31.2387,-92.4622,-6:00
16,USA Midwest,Franklinton,Louisian,KF5BSZ B,KF5BSZ G,444.5875,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,30.8687,-89.9923,-6:00
16,USA Midwest,Franklinton,Louisian,KF5BSZ C,KF5BSZ G,147.44,DUP-,2.5,DV,OFF,88.5Hz,YES,Approximate,30.8687,-89.9923,-6:00
16,USA Midwest,Leesville,Louisian,KE5PFA C,KE5PFA G,147.345,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,31.126833,-93.279667,-6:00
16,USA Midwest,Many,Louisian,N5MNY  C,N5MNY  G,146.805,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,31.58,-93.46,-6:00
16,USA Midwest,Minden,Louisian,N5MAD  B,N5MAD  G,442.5125,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,32.671167,-93.245667,-6:00
16,USA Midwest,Minden,Louisian,N5MAD  C,N5MAD  G,144.92,DUP+,2.5,DV,OFF,88.5Hz,YES,Approximate,32.671167,-93.245667,-6:00
16,USA Midwest,New Orleans,Louisian,W5GAD  B,W5GAD  G,444.925,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,29.979167,-90.139833,-6:00
16,USA Midwest,New Orleans,Louisian,W5GAD  C,W5GAD  G,146.925,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,29.979167,-90.139833,-6:00
16,USA Midwest,Pineville,Louisian,KC5ZJY C,KC5ZJY G,145.15,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,31.324167,-92.439333,-6:00
16,USA Midwest,Ruston,Louisian,N5APB  C,N5APB  G,145.14,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,32.569667,-92.707667,-6:00
16,USA Midwest,Shreveport,Louisian,W5SHV  B,W5SHV  G,442,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,32.513667,-93.748333,-6:00
16,USA Midwest,Shreveport,Louisian,W5SHV  C,W5SHV  G,147.36,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,32.513667,-93.748333,-6:00
16,USA Midwest,West Monroe,Louisian,WA5WX  B,WA5WX  G,442,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,32.516667,-92.152667,-6:00
16,USA Midwest,St. Martinville,Louisian,KF5ZUZ B,KF5ZUZ G,443.85,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,30.05,-91.81,-6:00
16,USA Midwest,St. Martinville,Louisian,KF5ZUZ C,KF5ZUZ G,147,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,30.05,-91.81,-6:00
16,USA Midwest,Bloomington,Minnesot,WT0O   B,WT0O   G,442.9,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,44.827,-93.3028,-6:00
16,USA Midwest,Bloomington,Minnesot,WT0O   C,WT0O   G,145.15,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,44.827,-93.3028,-6:00
16,USA Midwest,Chaska,Minnesot,KD0JOS B,KD0JOS G,442.125,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,44.8,-93.61,-6:00
16,USA Midwest,Chaska,Minnesot,KD0JOS C,KD0JOS G,147.27,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,44.8,-93.61,-6:00
16,USA Midwest,Little Falls,Minnesot,W0REA  B,W0REA  G,444,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,45.976333,-94.3625,-6:00
16,USA Midwest,Minneapolis,Minnesot,KD0JOU C,KD0JOU G,145.11,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,44.9852,-93.2638,-6:00
16,USA Midwest,Mounds View,Minnesot,W0ANA  B,W0ANA  G,443.775,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,45.120333,-93.199667,-6:00
16,USA Midwest,Mounds View,Minnesot,W0ANA  C,W0ANA  G,145.405,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,45.120333,-93.199667,-6:00
16,USA Midwest,Rochester,Minnesot,W0MXW  B,W0MXW  G,443.85,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,44.022167,-92.4655,-6:00
16,USA Midwest,Wanda,Minnesot,KD0IAI B,KD0IAI G,444.025,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,44.314167,-95.217,-6:00
16,USA Midwest,White Bear Lake,Minnesot,KC0WLB B,KC0WLB G,444,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,45.0612,-93.0308,-6:00
16,USA Midwest,St. Cloud,Minnesot,KD0YLG B,KD0YLG G,443.85,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,45.6,-94.15,-6:00
16,USA Midwest,Columbia,Missouri,WX0BC  B,WX0BC  G,442.325,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,38.9687,-92.3352,-6:00
